Name,Unit,Default,Description
areaSub3OutedgeDarkTRB,mm²,0,Area of the 3th largest subblob-fragment of Outer Edge Dark of TRB
areaSub3OutedgeDarkTRBH,mm²,0,Area of the 3th largest subblob-fragment of Outer Edge Dark of TRBH
areaSub3PrepBrightRFDD,mm²,0,Area of the 3th largest subblob-fragment of Preprocessed Bright of RFDD
areaSub3PrepBrightRFH,mm²,0,Area of the 3th largest subblob-fragment of Preprocessed Bright of RFH
areaSub3PrepBrightRFL,mm²,0,Area of the 3th largest subblob-fragment of Preprocessed Bright of RFL
areaSub3PrepBrightRR,mm²,0,Area of the 3th largest subblob-fragment of Preprocessed Bright of RR
areaSub3PrepBrightRRDD,mm²,0,Area of the 3th largest subblob-fragment of Preprocessed Bright of RRDD
areaSub3PrepBrightTFB,mm²,0,Area of the 3th largest subblob-fragment of Preprocessed Bright of TFB
areaSub3PrepBrightTRB,mm²,0,Area of the 3th largest subblob-fragment of Preprocessed Bright of TRB
areaSub3PrepBrightTRBH,mm²,0,Area of the 3th largest subblob-fragment of Preprocessed Bright of TRBH
areaSub3PrepDarkRFDD,mm²,0,Area of the 3th largest subblob-fragment of Preprocessed Dark of RFDD
areaSub3PrepDarkRFH,mm²,0,Area of the 3th largest subblob-fragment of Preprocessed Dark of RFH
areaSub3PrepDarkRFL,mm²,0,Area of the 3th largest subblob-fragment of Preprocessed Dark of RFL
areaSub3PrepDarkRR,mm²,0,Area of the 3th largest subblob-fragment of Preprocessed Dark of RR
areaSub3PrepDarkRRDD,mm²,0,Area of the 3th largest subblob-fragment of Preprocessed Dark of RRDD
areaSub3PrepDarkTFB,mm²,0,Area of the 3th largest subblob-fragment of Preprocessed Dark of TFB
areaSub3PrepDarkTRB,mm²,0,Area of the 3th largest subblob-fragment of Preprocessed Dark of TRB
areaSub3PrepDarkTRBH,mm²,0,Area of the 3th largest subblob-fragment of Preprocessed Dark of TRBH
areaSumGvBinRFDD,mm²,0,Overall area of all bins of RFDD
areaSumGvBinRFL,mm²,0,Overall area of all bins of RFL
areaSumGvBinRRDD,mm²,0,Overall area of all bins of RRDD
areaSumGvBinTFB,mm²,0,Overall area of all bins of TFB
areaSumGvBinTRB,mm²,0,Overall area of all bins of TRB
areaSumGvBinTRBH,mm²,0,Overall area of all bins of TRBH
cameraIdRFDD,,0,"Camera Sensor Number, unique per optical channel and starting with 1 of RFDD"
cameraIdRFDD_E,,0,"Camera Sensor Number, unique per optical channel and starting with 1 of RFDD_E"
cameraIdRFH,,0,"Camera Sensor Number, unique per optical channel and starting with 1 of RFH"
cameraIdRFL,,0,"Camera Sensor Number, unique per optical channel and starting with 1 of RFL"
cameraIdRR,,0,"Camera Sensor Number, unique per optical channel and starting with 1 of RR"
cameraIdRRDD,,0,"Camera Sensor Number, unique per optical channel and starting with 1 of RRDD"
cameraIdTFB,,0,"Camera Sensor Number, unique per optical channel and starting with 1 of TFB"
cameraIdTRB,,0,"Camera Sensor Number, unique per optical channel and starting with 1 of TRB"
cameraIdTRBH,,0,"Camera Sensor Number, unique per optical channel and starting with 1 of TRBH"
cdAbsBoxCenter,mm,0,Absolute cross position of center of surrounding rectangle
cdAbsBoxCenterFiltBrightRFDD,mm,0,Absolute cross position of center of surrounding rectangle of Filtered Bright of RFDD.
cdAbsBoxCenterFiltBrightRFDD_E,mm,0,Absolute cross position of center of surrounding rectangle of Filtered Bright of RFDD_E.
cdAbsBoxCenterFiltBrightRFH,mm,0,Absolute cross position of center of surrounding rectangle of Filtered Bright of RFH.
cdAbsBoxCenterFiltBrightRFL,mm,0,Absolute cross position of center of surrounding rectangle of Filtered Bright of RFL.
cdAbsBoxCenterFiltBrightTFB,mm,0,Absolute cross position of center of surrounding rectangle of Filtered Bright of TFB.
cdAbsBoxCenterFiltDarkRFDD,mm,0,Absolute cross position of center of surrounding rectangle of Filtered Dark of RFDD.
cdAbsBoxCenterFiltDarkRFDD_E,mm,0,Absolute cross position of center of surrounding rectangle of Filtered Dark of RFDD_E.
cdAbsBoxCenterFiltDarkRFH,mm,0,Absolute cross position of center of surrounding rectangle of Filtered Dark of RFH.
cdAbsBoxCenterFiltDarkRFL,mm,0,Absolute cross position of center of surrounding rectangle of Filtered Dark of RFL.
cdAbsBoxCenterFiltDarkTFB,mm,0,Absolute cross position of center of surrounding rectangle of Filtered Dark of TFB.
